,profiling/Time taken: GRPOTrainer.transformers.generate,_step,_runtime,_timestamp,train/global_step,profiling/Time taken: GRPOTrainer._get_per_token_logps_and_entropies,profiling/Time taken: GRPOTrainer.compute_loss,profiling/Time taken: GRPOTrainer.reward_format,profiling/Time taken: GRPOTrainer._prepare_inputs,profiling/Time taken: GRPOTrainer._calculate_rewards,profiling/Time taken: GRPOTrainer.reward_seen_test,profiling/Time taken: GRPOTrainer.reward_cot_monitor,profiling/Time taken: GRPOTrainer.reward_unseen_tests,train/entropy,train/clip_ratio/region_mean,train/completions/mean_terminated_length,train/clip_ratio/high_max,train/rewards/reward_unseen_tests/std,train/reward,train/num_tokens,train/rewards/reward_seen_test/std,train/rewards/reward_seen_test/mean,train/rewards/reward_cot_monitor/mean,train/rewards/reward_cot_monitor/std,train/completions/min_terminated_length,train/loss,train/rewards/reward_format/mean,train/grad_norm,train/completions/min_length,train/clip_ratio/low_min,train/learning_rate,train/clip_ratio/low_mean,train/completions/mean_length,train/epoch,train/frac_reward_zero_std,train/completions/max_terminated_length,train/completions/clipped_ratio,train/clip_ratio/high_mean,train/reward_std,train/rewards/reward_unseen_tests/mean,train/rewards/reward_format/std,train/completions/max_length,code_results
0,59.60841358266771,0,79.874954497,1764180317.029377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,7,85.913151002,1764180323.0683076,0,0.795754324644804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,86.071388041,1764180323.2265985,0,,0.9546782318502665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,28,376.6423799,1764180613.7976778,0,,,0.0010908488184213638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,33,430.817278605,1764180667.9726434,0,,,,113.02025219239295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,41,539.387416567,1764180776.5429428,0,,,,,48.20036393404007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,47,603.867816959,1764180841.0227692,0,,,,,,4.435634717345238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,64,749.30371162,1764180986.4590542,0,,,0.0008936692029237747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,74,918.288610628,1764181155.4438334,0,,,,,,62.45025050267577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,77,918.292007241,1764181155.4473665,0,,,,,62.45561437495053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,85,1007.414893883,1764181244.57021,0,,,,,,,0.0005458611994981766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,88,1007.818671025,1764181244.9739032,0,0.3949359841644764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,102,1176.523579669,1764181413.6789737,0,,,,,,,,0.0008624494075775146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,104,1176.525614291,1764181413.6809614,0,,,,,35.112521482631564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,62.7411361541599,133,1493.260026338,1764181730.4147618,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,136,1608.500775447,1764181845.6559832,1,,,,,,,,0.0010979995131492615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,62.834644524380565,147,1677.379674674,1764181914.5347977,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,149,1792.776548569,1764182029.9318662,2,,,,,,115.37555216625333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,150,1792.778156401,1764182029.933519,2,,,,,,,,0.0011397488415241241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,155,1793.620797366,1764182030.7762806,2,,0.8315382841974497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,157,1795.466260135,1764182032.6215718,2,0.3448999207466841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,172,1937.621039195,1764182174.776491,3,,0.8346926551312208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,180,2051.591406357,1764182288.7466536,4,,,,,48.263831570744514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,195,2173.795430008,1764182410.9508042,5,,,,116.41482400521636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,62.59451677650213,203,2242.422944107,1764182479.5781236,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,213,2303.467205982,1764182540.6224456,6,0.3530727382749319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,57.5329226218164,217,2364.362218468,1764182601.5171533,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,228,2472.426679178,1764182709.5821726,7,,0.7454064190387726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,233,2589.589626253,1764182826.744527,8,,,,,,51.798431150615215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,242,2592.758588417,1764182829.9139934,8,,0.8083746451884508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,248,2767.045162418,1764183004.200709,9,,,,,,,,0.0010138321667909622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,251,2767.053710456,1764183004.209012,9,,,,171.62827841565013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,62.68204111419618,259,2835.95189659,1764183073.1070275,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,265,2900.150512176,1764183137.305678,10,,,,126.91628547944129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,62.5513672195375,273,2968.561925707,1764183205.7167745,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,274,2968.581877894,1764183205.7372415,11,,,0.0018084123730659485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,279,3080.538963189,1764183317.6943393,11,,,,174.56331984326243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,283,3083.340654103,1764183320.495912,11,0.3663049377501011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,292,3240.10152526,1764183477.256847,12,,,,,90.8748542200774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,321,3600.587374712,1764183837.7427607,14,,,,190.75061811879277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,324,3603.049786649,1764183840.2050483,14,,,,5.172565579414368e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,327,3605.501450217,1764183842.65681,15,,,,,,,,,0.37460945546627045,0.0,527.1333618164062,0.0,0.43735596537590027,1.34375,324634.0,0.49899089336395264,0.40625,0.46875,0.8793096542358398,189.0,0.0543,0.9375,0.20892277359962463,189.0,0.0,5e-06,0.0,558.1875,0.26785714285714285,0.125,868.0,0.0625,0.0,0.50966876745224,0.296875,0.24593468010425568,1024.0,
42,,330,3669.424459623,1764183906.5797355,15,,,0.0022330917418003082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,332,3744.721422698,1764183981.8767502,15,,,,,,,,0.001229412853717804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,337,3745.574704332,1764183982.730093,15,,0.8418286368250847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
